lat,lon,time,analysed_sst
35.875,359.375,1239796800,289.82
35.875,359.625,1239796800,289.93
35.875,359.875,1239796800,290.08
36.125,344.875,1239796800,290.19998
36.125,345.125,1239796800,290.16
36.125,345.375,1239796800,290.13
36.125,345.625,1239796800,290.07
36.125,345.875,1239796800,290.0
36.125,346.125,1239796800,290.00998
36.125,346.375,1239796800,290.05
36.125,346.625,1239796800,290.03998
36.125,346.875,1239796800,290.03
36.125,347.125,1239796800,290.09
36.125,347.375,1239796800,290.16998
36.125,347.625,1239796800,290.25
36.125,347.875,1239796800,290.41
36.125,348.125,1239796800,290.5
36.125,348.375,1239796800,290.47998
36.125,348.625,1239796800,290.5
36.125,348.875,1239796800,290.59
36.125,349.125,1239796800,290.72
36.125,349.375,1239796800,290.8
36.125,349.625,1239796800,290.69
36.125,349.875,1239796800,290.63
36.125,350.125,1239796800,290.63998
36.125,350.375,1239796800,290.65
36.125,350.625,1239796800,290.72
36.125,350.875,1239796800,290.84
36.125,351.125,1239796800,290.88998
36.125,351.375,1239796800,290.78998
36.125,351.625,1239796800,290.78998
36.125,351.875,1239796800,290.81
36.125,352.125,1239796800,290.74
36.125,352.375,1239796800,290.71
36.125,352.625,1239796800,290.74
36.125,352.875,1239796800,290.69
36.125,353.125,1239796800,290.49
36.125,353.375,1239796800,290.32
36.125,353.625,1239796800,289.96
36.125,353.875,1239796800,289.91998
36.125,354.125,1239796800,289.88
36.125,354.375,1239796800,289.78998
36.125,354.625,1239796800,289.56
36.125,354.875,1239796800,289.58
36.125,355.125,1239796800,289.63998
36.125,355.375,1239796800,289.69
36.125,355.625,1239796800,289.69
36.125,355.875,1239796800,289.66998
36.125,356.125,1239796800,289.61
36.125,356.375,1239796800,289.53
36.125,356.625,1239796800,289.47
36.125,356.875,1239796800,289.46
36.125,357.125,1239796800,289.44998
36.125,357.375,1239796800,289.44998
36.125,357.625,1239796800,289.52
36.125,357.875,1239796800,289.66998
36.125,358.125,1239796800,289.77
36.125,358.375,1239796800,289.78
36.125,358.625,1239796800,289.78
36.125,358.875,1239796800,289.81
36.125,359.125,1239796800,289.84
36.125,359.375,1239796800,289.85
36.125,359.625,1239796800,289.81
36.125,359.875,1239796800,289.85
36.375,344.875,1239796800,290.16998
36.375,345.125,1239796800,290.13998
36.375,345.375,1239796800,290.11
36.375,345.625,1239796800,290.03998
36.375,345.875,1239796800,289.94998
36.375,346.125,1239796800,289.96
36.375,346.375,1239796800,289.99
36.375,346.625,1239796800,289.97998
36.375,346.875,1239796800,290.0
36.375,347.125,1239796800,290.09
36.375,347.375,1239796800,290.13998
36.375,347.625,1239796800,290.24
36.375,347.875,1239796800,290.38
36.375,348.125,1239796800,290.44
36.375,348.375,1239796800,290.47
36.375,348.625,1239796800,290.59
36.375,348.875,1239796800,290.66
36.375,349.125,1239796800,290.72
36.375,349.375,1239796800,290.72998
36.375,349.625,1239796800,290.66998
36.375,349.875,1239796800,290.59
36.375,350.125,1239796800,290.58
36.375,350.375,1239796800,290.52
36.375,350.625,1239796800,290.44998
36.375,350.875,1239796800,290.59
36.375,351.125,1239796800,290.72
36.375,351.375,1239796800,290.74
36.375,351.625,1239796800,290.77
36.375,351.875,1239796800,290.8
36.375,352.125,1239796800,290.66
36.375,352.375,1239796800,290.62
36.375,352.625,1239796800,290.62
36.375,352.875,1239796800,290.53
36.375,353.125,1239796800,290.41
36.375,353.375,1239796800,290.18
36.375,353.625,1239796800,290.03
36.375,353.875,1239796800,290.22
36.375,354.125,1239796800,
36.375,354.375,1239796800,
36.375,354.625,1239796800,289.34
36.375,354.875,1239796800,289.38
36.375,355.125,1239796800,289.41
36.375,355.375,1239796800,289.47
36.375,355.625,1239796800,289.6
36.375,355.875,1239796800,289.59
36.375,356.125,1239796800,289.53
36.375,356.375,1239796800,289.50998
36.375,356.625,1239796800,289.55
36.375,356.875,1239796800,289.56
36.375,357.125,1239796800,289.47998
36.375,357.375,1239796800,289.43
36.375,357.625,1239796800,289.44998
36.375,357.875,1239796800,289.61
36.375,358.125,1239796800,289.71
36.375,358.375,1239796800,289.81
36.375,358.625,1239796800,289.82
36.375,358.875,1239796800,289.85
36.375,359.125,1239796800,289.87
36.375,359.375,1239796800,289.85
36.375,359.625,1239796800,289.78998
36.375,359.875,1239796800,289.84
36.625,344.875,1239796800,290.13998
36.625,345.125,1239796800,290.08
36.625,345.375,1239796800,290.07
36.625,345.625,1239796800,290.00998
36.625,345.875,1239796800,289.94
36.625,346.125,1239796800,289.91998
36.625,346.375,1239796800,289.94998
36.625,346.625,1239796800,289.97
36.625,346.875,1239796800,290.02
36.625,347.125,1239796800,290.07
36.625,347.375,1239796800,290.13
36.625,347.625,1239796800,290.19
36.625,347.875,1239796800,290.24
36.625,348.125,1239796800,290.19
36.625,348.375,1239796800,290.11
36.625,348.625,1239796800,290.18
36.625,348.875,1239796800,290.28
36.625,349.125,1239796800,290.47
36.625,349.375,1239796800,290.63998
36.625,349.625,1239796800,290.63998
36.625,349.875,1239796800,290.53998
36.625,350.125,1239796800,290.50998
36.625,350.375,1239796800,290.4
36.625,350.625,1239796800,290.22998
36.625,350.875,1239796800,290.22998
36.625,351.125,1239796800,290.25
36.625,351.375,1239796800,290.25998
36.625,351.625,1239796800,290.22998
36.625,351.875,1239796800,290.27
36.625,352.125,1239796800,290.4
36.625,352.375,1239796800,290.50998
36.625,352.625,1239796800,290.5
36.625,352.875,1239796800,290.43
36.625,353.125,1239796800,290.16
36.625,353.375,1239796800,290.13
36.625,353.625,1239796800,290.41998
36.625,353.875,1239796800,290.68
36.625,354.125,1239796800,
36.625,354.375,1239796800,
